sample_id,farm_id,animal_id,event_time,species,severity_score,respiration_flag,mobility_flag,mortality_count,appetite_loss,vaccination_unknown,missing_count,label,provenance
S001,FARM_A,A01,2026-01-01T08:00:00Z,CATTLE,0,0,0,0,0,0,2,LOW,SYNTHETIC_DEMO
S002,FARM_A,A02,2026-01-03T08:00:00Z,BUFFALO,1,0,0,0,1,1,3,VET_REVIEW,SYNTHETIC_DEMO
S003,FARM_A,A03,2026-01-05T08:00:00Z,CATTLE,2,1,0,0,1,1,2,EMERGENCY,SYNTHETIC_DEMO
S004,FARM_B,B01,2026-01-08T08:00:00Z,CATTLE,0,0,0,0,0,0,1,LOW,SYNTHETIC_DEMO
S005,FARM_B,B02,2026-01-10T08:00:00Z,BUFFALO,1,0,1,0,1,0,2,VET_REVIEW,SYNTHETIC_DEMO
S006,FARM_B,B03,2026-01-12T08:00:00Z,CATTLE,1,0,0,1,1,1,3,EMERGENCY,SYNTHETIC_DEMO
S007,FARM_C,C01,2026-01-15T08:00:00Z,CATTLE,0,0,0,0,0,1,4,VET_REVIEW,SYNTHETIC_DEMO
S008,FARM_C,C02,2026-01-17T08:00:00Z,BUFFALO,0,0,0,0,0,0,1,LOW,SYNTHETIC_DEMO
S009,FARM_C,C03,2026-01-19T08:00:00Z,CATTLE,2,1,1,0,1,0,2,EMERGENCY,SYNTHETIC_DEMO
S010,FARM_D,D01,2026-01-22T08:00:00Z,CATTLE,1,0,0,0,1,0,2,VET_REVIEW,SYNTHETIC_DEMO
S011,FARM_D,D02,2026-01-24T08:00:00Z,BUFFALO,0,0,0,0,0,0,2,LOW,SYNTHETIC_DEMO
S012,FARM_D,D03,2026-01-26T08:00:00Z,CATTLE,2,0,1,0,1,1,2,VET_REVIEW,SYNTHETIC_DEMO
S013,FARM_E,E01,2026-02-01T08:00:00Z,CATTLE,0,0,0,0,0,0,1,LOW,SYNTHETIC_DEMO
S014,FARM_E,E02,2026-02-03T08:00:00Z,BUFFALO,1,0,0,0,1,1,3,VET_REVIEW,SYNTHETIC_DEMO
S015,FARM_E,E03,2026-02-05T08:00:00Z,CATTLE,2,1,0,0,1,0,2,EMERGENCY,SYNTHETIC_DEMO
S016,FARM_F,F01,2026-02-08T08:00:00Z,CATTLE,0,0,0,0,0,0,1,LOW,SYNTHETIC_DEMO
S017,FARM_F,F02,2026-02-10T08:00:00Z,BUFFALO,1,0,1,0,1,1,2,VET_REVIEW,SYNTHETIC_DEMO
S018,FARM_F,F03,2026-02-12T08:00:00Z,CATTLE,1,0,0,1,0,0,3,EMERGENCY,SYNTHETIC_DEMO
S019,FARM_G,G01,2026-03-01T08:00:00Z,CATTLE,0,0,0,0,0,0,1,LOW,SYNTHETIC_DEMO
S020,FARM_G,G02,2026-03-03T08:00:00Z,BUFFALO,1,0,0,0,1,1,3,VET_REVIEW,SYNTHETIC_DEMO
S021,FARM_G,G03,2026-03-05T08:00:00Z,CATTLE,2,1,0,0,1,0,2,EMERGENCY,SYNTHETIC_DEMO
S022,FARM_H,H01,2026-03-08T08:00:00Z,CATTLE,0,0,0,0,0,0,2,LOW,SYNTHETIC_DEMO
S023,FARM_H,H02,2026-03-10T08:00:00Z,BUFFALO,1,0,1,0,1,0,2,VET_REVIEW,SYNTHETIC_DEMO
S024,FARM_H,H03,2026-03-12T08:00:00Z,CATTLE,1,0,0,1,1,1,3,EMERGENCY,SYNTHETIC_DEMO
